,key,values
151,"['N2O_CO2-ekv.', '0.4', '2013']",['4874.8']
152,"['N2O_CO2-ekv.', '0.4', '2014']",['4988.4']
153,"['N2O_CO2-ekv.', '0.4', '2015']",['5045.1']
154,"['N2O_CO2-ekv.', '0.4', '2016']",['5044.4']
155,"['N2O_CO2-ekv.', '0.4', '2017']",['5214.6']
156,"['N2O_CO2-ekv.', '0.4', '2018']",['5034.8']
157,"['N2O_CO2-ekv.', '0.4', '2019']",['5149.7']
158,"['N2O_CO2-ekv.', '0.4', '2020']",['5176.6']
159,"['N2O_CO2-ekv.', '0.4', '2021']",['5084.3']
160,"['CH4_CO2-ekv.', '0.4', '1990']",['8840.3']
161,"['CH4_CO2-ekv.', '0.4', '1991']",['8830.5']
162,"['CH4_CO2-ekv.', '0.4', '1992']",['8973.9']
163,"['CH4_CO2-ekv.', '0.4', '1993']",['8939.2']
164,"['CH4_CO2-ekv.', '0.4', '1994']",['8863.3']
165,"['CH4_CO2-ekv.', '0.4', '1995']",['8766.3']
166,"['CH4_CO2-ekv.', '0.4', '1996']",['8776.0']
167,"['CH4_CO2-ekv.', '0.4', '1997']",['8713.8']
168,"['CH4_CO2-ekv.', '0.4', '1998']",['8584.0']
169,"['CH4_CO2-ekv.', '0.4', '1999']",['8370.4']
170,"['CH4_CO2-ekv.', '0.4', '2000']",['8185.3']
171,"['CH4_CO2-ekv.', '0.4', '2001']",['8105.3']
172,"['CH4_CO2-ekv.', '0.4', '2002']",['7820.8']
173,"['CH4_CO2-ekv.', '0.4', '2003']",['7577.1']
174,"['CH4_CO2-ekv.', '0.4', '2004']",['7594.2']
175,"['CH4_CO2-ekv.', '0.4', '2005']",['7376.3']
176,"['CH4_CO2-ekv.', '0.4', '2006']",['7244.6']
177,"['CH4_CO2-ekv.', '0.4', '2007']",['6935.2']
178,"['CH4_CO2-ekv.', '0.4', '2008']",['6635.6']
179,"['CH4_CO2-ekv.', '0.4', '2009']",['6444.8']
180,"['CH4_CO2-ekv.', '0.4', '2010']",['6311.8']
181,"['CH4_CO2-ekv.', '0.4', '2011']",['6125.9']
182,"['CH4_CO2-ekv.', '0.4', '2012']",['5906.2']
183,"['CH4_CO2-ekv.', '0.4', '2013']",['5800.1']
184,"['CH4_CO2-ekv.', '0.4', '2014']",['5669.5']
